iter	Passed	Remaining
239	1544	4891
240	1550	4881
241	1555	4871
242	1560	4862
243	1565	4851
244	1571	4842
245	1577	4834
246	1582	4823
247	1587	4814
248	1593	4805
249	1598	4795
250	1604	4787
251	1610	4779
252	1615	4770
253	1620	4760
254	1625	4749
255	1631	4741
256	1637	4733
257	1642	4723
258	1649	4718
259	1654	4708
260	1659	4698
261	1665	4691
262	1671	4683
263	1676	4674
264	1682	4667
265	1688	4658
266	1694	4651
267	1700	4644
268	1705	4634
269	1711	4627
270	1717	4620
271	1723	4611
272	1728	4603
273	1733	4593
274	1739	4586
275	1746	4580
276	1751	4571
277	1757	4563
278	1762	4555
279	1767	4546
280	1773	4537
281	1778	4527
282	1783	4519
283	1790	4514
284	1795	4505
285	1801	4497
286	1806	4488
287	1811	4478
288	1817	4472
289	1823	4464
290	1828	4456
291	1834	4448
292	1839	4439
293	1845	4432
294	1851	4425
295	1856	4416
296	1863	4410
297	1870	4407
298	1880	4409
299	1889	4407
300	1898	4409
301	1905	4404
302	1912	4398
303	1920	4397
304	1928	4393
305	1934	4388
306	1941	4382
307	1947	4375
308	1953	4368
309	1959	4362
310	1965	4353
311	1970	4346
312	1976	4339
313	1982	4331
314	1988	4323
315	1992	4313
316	1998	4306
317	2004	4299
318	2010	4291
319	2016	4285
320	2022	4277
321	2028	4270
322	2034	4263
323	2039	4255
324	2045	4248
325	2050	4240
326	2055	4231
327	2062	4225
328	2068	4219
329	2074	4212
330	2080	4205
331	2086	4198
332	2092	4191
333	2098	4184
334	2104	4176
335	2109	4169
336	2114	4160
337	2120	4152
338	2126	4146
339	2131	4137
340	2137	4130
341	2142	4122
342	2147	4113
343	2153	4107
344	2159	4100
345	2165	4092
346	2172	4088
347	2177	4080
348	2184	4074
349	2190	4068
350	2196	4060
351	2202	4053
352	2207	4045
353	2213	4038
354	2219	4032
355	2224	4023
356	2230	4017
357	2237	4011
358	2242	4004
359	2247	3996
360	2253	3988
361	2259	3981
362	2264	3974
363	2269	3965
364	2276	3959
365	2282	3953
366	2287	3945
367	2293	3939
368	2299	3931
369	2304	3924
370	2310	3917
371	2315	3909
372	2321	3902
373	2327	3895
374	2333	3889
375	2339	3881
376	2344	3873
377	2349	3865
378	2354	3858
379	2359	3850
380	2365	3843
381	2371	3836
382	2376	3828
383	2382	3822
384	2388	3815
385	2393	3807
386	2399	3800
387	2405	3793
388	2410	3786
389	2416	3780
390	2421	3771
391	2427	3765
392	2433	3759
393	2438	3750
394	2444	3744
395	2450	3737
396	2455	3730
397	2461	3723
398	2466	3715
399	2473	3710
400	2479	3703
401	2484	3695
402	2490	3688
403	2495	3681
404	2501	3674
405	2507	3668
406	2512	3660
407	2518	3654
408	2524	3647
409	2529	3639
410	2536	3634
411	2541	3627
412	2547	3620
413	2553	3613
414	2558	3606
415	2563	3599
416	2570	3593
417	2575	3585
418	2581	3579
419	2586	3571
420	2591	3563
421	2597	3557
422	2602	3550
423	2608	3543
424	2615	3537
425	2619	3530
426	2626	3524
427	2631	3517
428	2636	3509
429	2642	3503
430	2647	3495
431	2653	3488
432	2659	3482
433	2664	3474
434	2669	3467
435	2675	3461
436	2680	3453
437	2686	3447
438	2692	3441
439	2698	3433
440	2704	3427
441	2709	3420
442	2715	3414
443	2720	3407
444	2725	3399
445	2732	3393
446	2738	3387
447	2743	3380
448	2750	3375
449	2755	3368
450	2761	3361
451	2767	3354
452	2772	3348
453	2778	3341
454	2784	3335
455	2790	3328
456	2796	3322
457	2801	3315
458	2807	3308
459	2812	3302
460	2817	3294
461	2824	3288
462	2829	3281
463	2834	3274
464	2840	3268
465	2846	3261
466	2850	3253
467	2857	3248
468	2862	3241
469	2868	3234
470	2873	3227
471	2878	3219
472	2884	3213
473	2889	3206
474	2894	3199
475	2901	3193
476	2908	3188
477	2913	3181
478	2918	3174
479	2924	3167
480	2929	3160
481	2934	3154
482	2938	3145
483	2944	3139
484	2950	3132
485	2955	3125
486	2961	3119
487	2967	3113
488	2972	3105
489	2978	3099
490	2983	3092
491	2988	3085
492	2994	3079
493	3000	3073
494	3005	3066
495	3011	3059
496	3016	3052
497	3022	3046
498	3027	3039
499	3035	3035
500	3044	3032
501	3057	3033
502	3064	3027
503	3069	3020
504	3075	3014
505	3083	3010
506	3089	3004
507	3094	2997
508	3100	2990
509	3106	2984
510	3111	2977
511	3117	2971
512	3122	2964
513	3128	2957
514	3134	2951
515	3139	2944
516	3144	2938
517	3150	2931
518	3155	2924
519	3160	2917
520	3166	2911
521	3171	2904
522	3178	2898
523	3183	2892
524	3188	2884
525	3194	2878
526	3199	2872
527	3204	2864
528	3210	2858
529	3215	2851
530	3220	2844
531	3226	2837
532	3230	2830
533	3236	2823
534	3241	2817
535	3246	2810
536	3252	2804
537	3259	2798
538	3264	2791
539	3270	2785
540	3276	2779
541	3281	2772
542	3287	2766
543	3293	2760
544	3299	2754
545	3304	2748
546	3310	2741
547	3316	2735
548	3321	2728
549	3327	2722
550	3332	2715
551	3337	2708
552	3342	2702
553	3349	2696
554	3353	2689
555	3359	2682
556	3365	2676
557	3370	2669
558	3376	2664
559	3382	2657
560	3387	2650
561	3393	2644
562	3398	2637
563	3403	2631
564	3409	2624
565	3414	2618
566	3417	2610
567	3423	2603
568	3428	2596
569	3433	2590
570	3439	2584
571	3445	2577
572	3450	2571
573	3456	2565
574	3461	2558
575	3467	2552
576	3472	2546
577	3478	2539
578	3483	2533
579	3488	2526
580	3495	2520
581	3501	2515
582	3507	2508
583	3515	2504
584	3523	2499
585	3534	2496
586	3542	2492
587	3548	2486
588	3553	2479
589	3559	2473
590	3564	2466
591	3569	2459
592	3575	2453
593	3580	2447
594	3586	2441
595	3592	2435
596	3598	2429
597	3603	2422
598	3614	2419
599	3626	2417
600	3631	2410
601	3637	2404
602	3645	2400
603	3652	2394
604	3658	2388
605	3662	2381
606	3668	2375
607	3673	2368
608	3678	2361
609	3683	2355
610	3692	2351
611	3699	2345
612	3706	2339
613	3711	2333
614	3720	2329
615	3726	2323
616	3736	2319
617	3742	2313
618	3747	2306
619	3753	2300
620	3759	2294
621	3764	2287
622	3770	2281
623	3775	2275
624	3780	2268
625	3786	2262
626	3792	2255
627	3797	2249
628	3802	2243
629	3808	2236
630	3814	2230
631	3819	2224
632	3824	2217
633	3830	2211
634	3835	2204
635	3840	2198
636	3846	2191
637	3851	2185
638	3858	2179
639	3863	2173
640	3868	2166
641	3873	2160
642	3879	2153
643	3884	2147
644	3890	2141
645	3896	2135
646	3901	2128
647	3908	2122
648	3913	2116
649	3919	2110
650	3925	2104
651	3931	2098
652	3937	2092
653	3942	2085
654	3947	2079
655	3953	2073
656	3959	2067
657	3964	2060
658	3970	2054
659	3975	2047
660	3980	2041
661	3986	2035
662	3991	2029
663	3997	2023
664	4002	2016
665	4007	2009
666	4014	2004
667	4018	1997
668	4023	1990
669	4029	1984
670	4035	1978
671	4042	1973
672	4048	1967
673	4054	1960
674	4061	1955
675	4066	1948
676	4073	1943
677	4079	1937
678	4084	1931
679	4096	1927
680	4102	1921
681	4108	1915
682	4113	1909
683	4122	1904
684	4131	1899
685	4140	1895
686	4148	1889
687	4154	1883
688	4160	1877
689	4165	1871
690	4172	1866
691	4180	1860
692	4185	1854
693	4191	1847
694	4196	1841
695	4202	1835
696	4207	1829
697	4213	1823
698	4218	1816
699	4223	1810
700	4228	1803
701	4234	1797
702	4239	1790
703	4245	1784
704	4249	1778
705	4256	1772
706	4261	1766
707	4266	1759
708	4271	1753
709	4277	1747
710	4282	1740
711	4288	1734
712	4294	1728
713	4299	1722
714	4305	1716
715	4311	1710
716	4317	1704
717	4323	1697
718	4327	1691
719	4334	1685
720	4340	1679
721	4345	1673
722	4351	1667
723	4356	1660
724	4362	1654
725	4367	1648
726	4372	1642
727	4378	1635
728	4385	1630
729	4392	1624
730	4398	1618
731	4404	1612
732	4411	1606
733	4417	1600
734	4423	1594
735	4429	1588
736	4435	1582
737	4442	1577
738	4448	1571
739	4454	1565
740	4460	1559
741	4464	1552
742	4471	1546
743	4477	1540
744	4484	1534
745	4489	1528
746	4495	1522
747	4501	1516
748	4506	1510
749	4512	1504
750	4518	1498
751	4523	1491
752	4528	1485
753	4534	1479
754	4539	1473
755	4544	1466
756	4549	1460
757	4554	1454
758	4559	1447
759	4565	1441
760	4569	1435
761	4575	1429
762	4581	1422
763	4585	1416
764	4590	1410
765	4596	1404
766	4601	1397
767	4606	1391
768	4611	1385
769	4616	1379
770	4622	1372
771	4627	1366
772	4632	1360
773	4638	1354
774	4643	1348
775	4647	1341
776	4653	1335
777	4659	1329
778	4664	1323
779	4670	1317
780	4675	1311
781	4681	1304
782	4686	1298
783	4692	1292
784	4697	1286
785	4703	1280
786	4708	1274
787	4714	1268
788	4719	1262
789	4724	1255
790	4730	1249
791	4736	1243
792	4741	1237
793	4747	1231
794	4753	1225
795	4760	1219
796	4766	1213
797	4771	1207
798	4777	1201
799	4783	1195
800	4789	1189
801	4795	1184
802	4801	1177
803	4806	1171
804	4813	1165
805	4818	1159
806	4824	1153
807	4830	1147
808	4835	1141
809	4841	1135
810	4846	1129
811	4852	1123
812	4857	1117
813	4863	1111
814	4869	1105
815	4874	1099
816	4880	1093
817	4886	1087
818	4892	1081
819	4897	1074
820	4903	1069
821	4908	1062
822	4914	1056
823	4920	1050
824	4925	1044
825	4932	1039
826	4938	1032
827	4943	1026
828	4949	1020
829	4955	1014
830	4961	1008
831	4967	1002
832	4971	996
833	4978	990
834	4983	984
835	4988	978
836	4994	972
837	4999	966
838	5005	960
839	5011	954
840	5015	948
841	5021	942
842	5026	936
843	5032	930
844	5038	924
845	5043	918
846	5048	911
847	5054	906
848	5059	899
849	5064	893
850	5070	887
851	5075	881
852	5081	875
853	5087	869
854	5091	863
855	5097	857
856	5103	851
857	5107	845
858	5113	839
859	5119	833
860	5124	827
861	5130	821
862	5135	815
863	5140	809
864	5146	803
865	5152	797
866	5157	791
867	5163	785
868	5168	779
869	5174	773
870	5180	767
871	5189	761
872	5200	756
873	5209	750
874	5216	745
875	5222	739
876	5227	733
877	5234	727
878	5239	721
879	5244	715
880	5250	709
881	5256	703
882	5262	697
883	5268	691
884	5273	685
885	5279	679
886	5285	673
887	5291	667
888	5296	661
889	5301	655
890	5307	649
891	5313	643
892	5318	637
893	5325	631
894	5331	625
895	5336	619
896	5342	613
897	5347	607
898	5353	601
899	5359	595
900	5364	589
901	5371	583
902	5377	577
903	5381	571
904	5387	565
905	5392	559
906	5398	553
907	5404	547
908	5409	541
909	5415	535
910	5420	529
911	5425	523
912	5431	517
913	5436	511
914	5441	505
915	5447	499
916	5452	493
917	5457	487
918	5463	481
919	5469	475
920	5474	469
921	5480	463
922	5485	457
923	5490	451
924	5496	445
925	5501	439
926	5507	433
927	5512	427
928	5517	421
929	5523	415
930	5529	409
931	5535	403
932	5542	397
933	5547	392
934	5553	386
935	5558	380
936	5563	374
937	5569	368
938	5575	362
939	5581	356
940	5586	350
941	5591	344
942	5597	338
943	5602	332
944	5607	326
945	5613	320
946	5618	314
947	5624	308
948	5630	302
949	5636	296
950	5642	290
951	5648	284
952	5654	278
953	5660	272
954	5666	267
955	5671	261
956	5677	255
957	5682	249
958	5687	243
959	5694	237
960	5700	231
961	5705	225
962	5711	219
963	5715	213
964	5721	207
965	5727	201
966	5732	195
967	5738	189
968	5743	183
969	5748	177
970	5755	171
971	5760	165
972	5765	159
973	5771	154
974	5776	148
975	5782	142
976	5788	136
977	5793	130
978	5798	124
979	5804	118
980	5809	112
981	5815	106
982	5820	100
983	5826	94
984	5832	88
985	5837	82
986	5842	76
987	5847	71
988	5853	65
989	5858	59
990	5864	53
991	5870	47
992	5876	41
993	5882	35
994	5887	29
995	5892	23
996	5898	17
997	5905	11
998	5912	5
999	5917	0
