iter	Accuracy	MultiClass
544	0.8444394669	0.3657719442
545	0.8445514615	0.3656965033
546	0.8443274723	0.3656560727
547	0.8444394669	0.3656185207
548	0.8443274723	0.3655573856
549	0.8443274723	0.3655085364
550	0.8445514615	0.3654068141
551	0.8444394669	0.3652819355
552	0.8445514615	0.3652447087
553	0.8445514615	0.3650717129
554	0.8445514615	0.3649984256
555	0.8447754508	0.3648911093
556	0.8447754508	0.3648092451
557	0.84499944	0.3646467395
558	0.84499944	0.3645779315
559	0.84499944	0.3644992761
560	0.8448874454	0.3644540861
561	0.8447754508	0.3643859898
562	0.84499944	0.3642523862
563	0.84499944	0.3641792764
564	0.8448874454	0.3641001931
565	0.8452234293	0.3639427137
566	0.8453354239	0.3639079073
567	0.8451114347	0.3638621893
568	0.8453354239	0.3636990728
569	0.8454474185	0.3636159433
570	0.8454474185	0.3635513238
571	0.8454474185	0.3634935991
572	0.8453354239	0.3633735511
573	0.8454474185	0.3632916514
574	0.8454474185	0.363236308
575	0.8453354239	0.3631493578
576	0.8453354239	0.3630951115
577	0.8453354239	0.3630386896
578	0.8452234293	0.3629695649
579	0.8454474185	0.3629158448
580	0.8454474185	0.3628616488
581	0.8457834024	0.3627134654
582	0.8457834024	0.3625699029
583	0.8455594131	0.3624874688
584	0.845895397	0.3624278666
585	0.8460073916	0.3623781683
586	0.8456714078	0.3622876107
587	0.845895397	0.3622454814
588	0.8456714078	0.3621679793
589	0.8456714078	0.3621117287
590	0.8460073916	0.3620296376
591	0.845895397	0.3619205483
592	0.845895397	0.3618551597
593	0.8457834024	0.3617935008
594	0.8460073916	0.3617510412
595	0.8460073916	0.3616772946
596	0.845895397	0.361570036
597	0.8460073916	0.3614845955
598	0.845895397	0.3614296378
599	0.845895397	0.3613739205
600	0.8460073916	0.3613262475
601	0.8460073916	0.3612628317
602	0.8460073916	0.3612036211
603	0.8460073916	0.361107803
604	0.8461193863	0.3610027545
605	0.845895397	0.3609008249
606	0.8460073916	0.3608292606
607	0.845895397	0.3607457008
608	0.8457834024	0.3606718147
609	0.8457834024	0.3606279028
610	0.845895397	0.3605120789
611	0.8460073916	0.3604496429
612	0.8460073916	0.3603670609
613	0.8460073916	0.3602125282
614	0.8460073916	0.3600868072
615	0.8460073916	0.3600309077
616	0.845895397	0.3599651568
617	0.8460073916	0.3599175177
618	0.845895397	0.3598636056
619	0.8460073916	0.3597924461
620	0.8457834024	0.3597448588
621	0.8457834024	0.3596970605
622	0.845895397	0.3596381478
623	0.845895397	0.3595931564
624	0.8456714078	0.3595478934
625	0.8456714078	0.3594592572
626	0.845895397	0.3593716949
627	0.8457834024	0.3592487747
628	0.8457834024	0.3591702408
629	0.8457834024	0.3591175753
630	0.8462313809	0.3590543767
631	0.8460073916	0.359011048
632	0.8461193863	0.3589595773
633	0.8461193863	0.358901631
634	0.8462313809	0.3588268465
635	0.8463433755	0.358770034
636	0.8462313809	0.3587097738
637	0.8463433755	0.3586219609
638	0.8462313809	0.3584818327
639	0.8464553701	0.3583235223
640	0.8464553701	0.358269521
641	0.8465673648	0.3581679845
642	0.8466793594	0.3581322096
643	0.8466793594	0.3580908564
644	0.8465673648	0.3579967098
645	0.8466793594	0.3579684135
646	0.8465673648	0.3579235815
647	0.8465673648	0.3578564765
648	0.846791354	0.3577733609
649	0.8469033486	0.3576913251
650	0.8470153433	0.3576034296
651	0.8471273379	0.357420408
652	0.8471273379	0.3573671271
653	0.8470153433	0.3573154561
654	0.8471273379	0.357249772
655	0.8470153433	0.3572024352
656	0.8470153433	0.3571352203
657	0.8470153433	0.3570948768
658	0.8475753164	0.356910813
659	0.8477993056	0.3566653739
660	0.8475753164	0.3566175188
661	0.8473513271	0.3565585361
662	0.847687311	0.3565205818
663	0.8479113003	0.3564354235
664	0.8479113003	0.3563152303
665	0.8477993056	0.3562578802
666	0.8477993056	0.3562079128
667	0.8477993056	0.3562021924
668	0.8477993056	0.356160996
669	0.8477993056	0.3561078285
670	0.8477993056	0.3560730554
671	0.8477993056	0.3559816957
672	0.8477993056	0.3559545415
673	0.8475753164	0.3559072795
674	0.8477993056	0.3557825098
675	0.8477993056	0.3557726374
676	0.8479113003	0.3557038342
677	0.8479113003	0.3556604616
678	0.8479113003	0.3556068053
679	0.8479113003	0.3555217057
680	0.8479113003	0.3554754917
681	0.8479113003	0.3553658657
682	0.8480232949	0.3552316535
683	0.8480232949	0.3551474777
684	0.8480232949	0.355075961
685	0.8480232949	0.3550070201
686	0.8480232949	0.354969
687	0.8477993056	0.3549096963
688	0.8481352895	0.3548374854
689	0.8479113003	0.3547658364
690	0.8477993056	0.3547018785
691	0.8479113003	0.3545736162
692	0.8480232949	0.3544405968
693	0.8479113003	0.3543749181
694	0.8479113003	0.3543103344
695	0.8477993056	0.3542822217
696	0.8477993056	0.3541978345
697	0.8479113003	0.3541484161
698	0.847687311	0.3541042283
699	0.847687311	0.3539995061
700	0.8479113003	0.3538870289
701	0.8477993056	0.3538320361
702	0.8482472841	0.3537049489
703	0.8482472841	0.3536592625
704	0.8482472841	0.3535277293
705	0.8479113003	0.3534780708
706	0.8482472841	0.3534150338
707	0.8482472841	0.3533664975
708	0.8482472841	0.3533157046
709	0.8483592788	0.3532157811
710	0.8482472841	0.3531692947
711	0.8483592788	0.3531089541
712	0.8488072573	0.3529636415
713	0.8486952626	0.3528868329
714	0.8486952626	0.3528163628
715	0.8486952626	0.3527473489
716	0.8488072573	0.3526856695
717	0.8488072573	0.3526187906
718	0.8489192519	0.3525764825
719	0.8488072573	0.3525189532
720	0.8489192519	0.3524826501
721	0.8489192519	0.3524310313
722	0.8489192519	0.3523412177
723	0.8490312465	0.3522991022
724	0.8489192519	0.3521377173
725	0.8489192519	0.3520336249
726	0.8490312465	0.3519894599
727	0.8490312465	0.3519496133
728	0.8490312465	0.351887235
729	0.8492552357	0.351811142
730	0.8493672304	0.3517557728
731	0.8493672304	0.3515886824
732	0.8493672304	0.3515408096
733	0.8493672304	0.3515178201
734	0.8493672304	0.3514346538
735	0.8493672304	0.3513729477
736	0.8493672304	0.3512737283
737	0.8492552357	0.3511751683
738	0.8493672304	0.3511036691
739	0.8491432411	0.3510790234
740	0.8492552357	0.3510445224
741	0.8492552357	0.3510337853
742	0.8491432411	0.350983057
743	0.849479225	0.3509290382
744	0.8493672304	0.3508958023
745	0.849479225	0.3507485104
746	0.8493672304	0.3507039943
747	0.8493672304	0.3505683862
748	0.8493672304	0.3505159572
749	0.8493672304	0.350481387
750	0.8493672304	0.3504397456
751	0.8495912196	0.3503906912
752	0.8495912196	0.3503197213
753	0.8495912196	0.3502740076
754	0.8495912196	0.3502525582
755	0.8495912196	0.350117114
756	0.8495912196	0.3500698865
757	0.8495912196	0.3500107704
758	0.8495912196	0.3499559659
759	0.849479225	0.3499025479
760	0.849479225	0.3498486695
761	0.8495912196	0.3497929547
762	0.8495912196	0.3496297282
763	0.8497032142	0.3495884886
764	0.8495912196	0.349540102
765	0.8495912196	0.3495058419
766	0.8497032142	0.3494566706
767	0.8497032142	0.3494017564
768	0.8495912196	0.3493544966
769	0.849479225	0.349330618
770	0.8495912196	0.3493038897
771	0.8495912196	0.3492584117
772	0.849479225	0.3491896435
773	0.849479225	0.3491359657
774	0.849479225	0.3490922755
775	0.849479225	0.349085953
776	0.849479225	0.34905173
777	0.8495912196	0.3489948814
778	0.8497032142	0.3489248588
779	0.8497032142	0.3488786155
780	0.8499272035	0.3487127723
781	0.8499272035	0.3486549706
782	0.8500391981	0.3485902272
783	0.8499272035	0.3485615654
784	0.8499272035	0.3484838883
785	0.8498152089	0.3484191661
786	0.8499272035	0.3483719148
787	0.8500391981	0.3482955131
788	0.8500391981	0.3482688826
789	0.8500391981	0.3481953026
790	0.8500391981	0.3481770805
791	0.8500391981	0.3481317735
792	0.8500391981	0.3480863439
793	0.8500391981	0.3479031963
794	0.8501511927	0.3478245206
795	0.8502631874	0.3476915388
796	0.8502631874	0.347639487
797	0.8498152089	0.3475613366
798	0.8498152089	0.3475332306
799	0.8499272035	0.3474799915
800	0.8498152089	0.3474353617
801	0.8499272035	0.3473276955
802	0.8501511927	0.3472437213
803	0.8500391981	0.3471910574
804	0.8500391981	0.3470658229
805	0.8500391981	0.3470382502
806	0.8500391981	0.3469534057
807	0.8500391981	0.3468177008
808	0.8499272035	0.3467373063
809	0.8498152089	0.3466989053
810	0.8498152089	0.3466244991
811	0.8498152089	0.3465998786
812	0.8499272035	0.3465554011
813	0.8499272035	0.3465230648
814	0.8499272035	0.3464729987
815	0.8500391981	0.3464127455
816	0.8499272035	0.346272503
817	0.8502631874	0.346222958
818	0.850375182	0.3461428531
819	0.8502631874	0.3461131192
820	0.850375182	0.3460546366
821	0.8501511927	0.3459734472
822	0.8502631874	0.3458829724
823	0.850375182	0.3458508998
824	0.8502631874	0.3457584436
825	0.8502631874	0.3457137772
826	0.8502631874	0.3456837909
827	0.8501511927	0.3456124392
828	0.8501511927	0.3455534075
829	0.8501511927	0.3455076376
830	0.8502631874	0.34546809
831	0.8501511927	0.3453295957
832	0.8502631874	0.3452557924
833	0.850375182	0.3452082814
834	0.8504871766	0.3451606339
835	0.8505991712	0.3451077823
836	0.8505991712	0.3450826956
837	0.8505991712	0.3450352454
838	0.8505991712	0.3449378583
839	0.850375182	0.3449098866
840	0.8502631874	0.3448794617
841	0.8505991712	0.3448106077
842	0.8507111659	0.3447089731
843	0.8508231605	0.344571995
844	0.8505991712	0.3445163963
845	0.8504871766	0.344495478
846	0.8504871766	0.3444260543
847	0.850375182	0.3443719136
848	0.8504871766	0.3442105961
849	0.8504871766	0.3441825637
850	0.8505991712	0.3441264515
851	0.850375182	0.3440646016
852	0.8505991712	0.3439484171
853	0.8505991712	0.3438351846
854	0.8505991712	0.3437834514
855	0.8505991712	0.3437600942
856	0.8505991712	0.3437398386
857	0.8505991712	0.3436637137
858	0.8507111659	0.3436381231
859	0.8507111659	0.3436143801
860	0.8505991712	0.3435475273
861	0.8507111659	0.3434287244
862	0.8507111659	0.343409209
863	0.8507111659	0.3433631864
864	0.8509351551	0.3433072433
865	0.8508231605	0.3432665664
866	0.8508231605	0.3432136791
867	0.8510471497	0.3431330232
868	0.8511591444	0.3430521239
869	0.8511591444	0.3430225395
870	0.8511591444	0.3429638384
871	0.851271139	0.3428962823
872	0.8513831336	0.3428468687
873	0.8514951282	0.3427509736
874	0.8516071229	0.342709345
875	0.8517191175	0.3426715584
876	0.8518311121	0.3426333899
877	0.8518311121	0.342542222
878	0.8518311121	0.3424250124
879	0.8518311121	0.3423485986
880	0.8518311121	0.3423008495
881	0.8518311121	0.3422387127
